epoch,train_loss,train_acc,train_auc,monitor_loss,monitor_acc,monitor_auc
1,0.6929543737592644,0.5321229050279329,0.5070428061364618,0.6892395377159118,0.525,0.5285983658076681
2,0.6667874249000123,0.5977653631284916,0.6602817122454584,0.6846288323402405,0.575,0.5700817096165933
3,0.6515945639024233,0.6550279329608939,0.7557656844665909,0.6837445378303528,0.5625,0.5719673161533627
4,0.6359938616193207,0.6983240223463687,0.7850747439871307,0.6814086675643921,0.575,0.585166561910748
5,0.6201882582137038,0.7094972067039106,0.8175148114725155,0.6775526404380798,0.55,0.6165933375235702
6,0.5981607959923132,0.7960893854748603,0.8917722760623064,0.6778202772140502,0.5625,0.6178504085480829
7,0.5836225514971344,0.7458100558659218,0.8887746694393222,0.6737304091453552,0.5625,0.6140791954745444
8,0.5653366429845714,0.8212290502793296,0.9292737474006356,0.6718882560729981,0.5625,0.6184789440603394
9,0.546570954043106,0.8337988826815642,0.9189704555263468,0.670370090007782,0.55,0.6228786926461346
10,0.5272673881253717,0.8589385474860335,0.9458155137913447,0.665462851524353,0.5875,0.623507228158391
11,0.5164321892421339,0.8393854748603352,0.9319810099266292,0.6640846371650696,0.5625,0.6329352608422376
12,0.48874958517165157,0.8952513966480447,0.9616902734727508,0.6641522526741028,0.575,0.64487743557511
13,0.4693516631033168,0.8868715083798883,0.9633303252638601,0.6631349921226501,0.6125,0.6417347580138278
14,0.4457317702264093,0.9106145251396648,0.973759171342253,0.6533022403717041,0.6125,0.6549340037712131
15,0.4275559479963846,0.9064245810055865,0.9719621767960137,0.662032687664032,0.5875,0.656191074795726
16,0.4084314945356806,0.9245810055865922,0.9780750971083297,0.6544942736625672,0.6,0.6643620364550598
17,0.3906563468818558,0.9217877094972067,0.981025620904775,0.6725396037101745,0.6125,0.671904462602137
18,0.3624610975800946,0.9329608938547486,0.9830030996194138,0.6653967261314392,0.625,0.677561282212445
19,0.3511791269206468,0.9259776536312849,0.9851061325381567,0.6418063402175903,0.6375,0.6882463859208047
20,0.32799866712293146,0.9636871508379888,0.9905755875544395,0.6390093445777894,0.6375,0.6882463859208046
21,0.30910578753029166,0.9567039106145251,0.9929532702946601,0.6716128468513489,0.6375,0.6964173475801384
22,0.298812537303184,0.9608938547486033,0.9919488366618276,0.6342296123504638,0.6625,0.7008170961659334
23,0.27799080919953034,0.9692737430167597,0.9931965315651116,0.6359509468078614,0.6625,0.7008170961659334
24,0.2618625213147542,0.9692737430167597,0.9964923294228429,0.6305850982666016,0.675,0.7045883092394721
25,0.2467312995115472,0.9818435754189944,0.9961784439125829,0.6413381457328796,0.625,0.7096165933375236
26,0.2343841035272822,0.9706703910614525,0.9962098324636088,0.6289653539657593,0.6625,0.7146448774355751
27,0.223745550273517,0.9776536312849162,0.9961627496370699,0.6283895015716553,0.675,0.7159019484600879
28,0.20525594030678604,0.9860335195530726,0.9995213245968533,0.636904913187027,0.675,0.717159019484601
29,0.19619503534039973,0.9888268156424581,0.99775571860164,0.6254071354866028,0.6875,0.7247014456316782
30,0.1885187209651457,0.9902234636871509,0.9984227253109428,0.664560341835022,0.65,0.7228158390949089
31,0.17317993685020414,0.9902234636871509,0.998862165025307,0.6573908448219299,0.65,0.7228158390949089
32,0.17766075568825174,0.979050279329609,0.9979205084945266,0.6507086455821991,0.6375,0.7253299811439345
33,0.15396336765762147,0.9930167597765364,0.9995919488366618,0.6371992349624633,0.65,0.7291011942174734
34,0.14719977933268308,0.9930167597765364,0.998862165025307,0.6292128562927246,0.7,0.7303582652419862
35,0.14003622881527053,0.994413407821229,0.9994428532192883,0.6299699783325196,0.6875,0.7360150848522942
36,0.1347662246260563,0.9958100558659218,0.9998979872091655,0.6582305192947387,0.6625,0.732872407291012
37,0.1288462344494612,0.9930167597765364,0.9997959744183309,0.6301148772239685,0.675,0.7335009428032684
38,0.12140935717681267,0.9972067039106145,0.9999450700357044,0.6584011733531951,0.7,0.7303582652419861
39,0.11731431325221195,0.9972067039106145,0.999890140071409,0.6437532126903533,0.7125,0.7297297297297297
40,0.10848685761903251,0.9972067039106145,0.999937222897948,0.6549861133098602,0.6875,0.7322438717787555
41,0.1029367851062194,0.9972067039106145,0.999921528622435,0.6442027628421784,0.65,0.7341294783155248
42,0.0954277979095555,0.9972067039106145,0.999984305724487,0.6602954745292664,0.6875,0.7366436203645507
43,0.09497711549424592,0.9986033519553073,0.9999607643112175,0.6486148238182068,0.7125,0.7335009428032684
44,0.08824321074026258,0.9972067039106145,0.9999764585867305,0.6524284601211547,0.675,0.7341294783155249
45,0.08568638267630306,0.9986033519553073,0.9999921528622435,0.6515256047248841,0.6875,0.7322438717787556
46,0.08046761850238512,0.9986033519553073,0.9999764585867305,0.6554678618907929,0.7125,0.7328724072910119
47,0.07478476956736442,0.9986033519553073,0.9999921528622435,0.6816312432289123,0.6875,0.7335009428032684
48,0.0715741818593867,1.0,1.0,0.6727469623088836,0.6875,0.7328724072910119
49,0.07001270536936861,0.9986033519553073,0.999984305724487,0.6802464723587036,0.675,0.7322438717787555
