epoch,train_loss,train_acc,train_auc,monitor_loss,monitor_acc,monitor_auc
1,0.6911318418699935,0.5111731843575419,0.5181033129219658,0.678394329547882,0.6125,0.6310496543054683
2,0.6742559668072109,0.6089385474860335,0.6259616894331921,0.6714942812919616,0.625,0.6756756756756757
3,0.655328044345259,0.6550279329608939,0.7710001570105197,0.6670561671257019,0.575,0.6920175989943432
4,0.6394877067491329,0.7178770949720671,0.8179463024022611,0.6604095101356506,0.625,0.7083595223130106
5,0.6230804170976137,0.7262569832402235,0.8711257654262836,0.6543951511383057,0.65,0.7165304839723443
6,0.6089632074926152,0.7569832402234636,0.8741953210865129,0.6418720722198487,0.7125,0.7316153362664991
7,0.5910936690575583,0.8324022346368715,0.9189040665724604,0.6403107643127441,0.6875,0.7335009428032684
8,0.5740505513532201,0.835195530726257,0.9298791018998274,0.6341683864593506,0.675,0.7303582652419862
9,0.5557987799857582,0.8421787709497207,0.943711728685822,0.6293866038322449,0.6875,0.7303582652419862
10,0.5350252399897443,0.8840782122905028,0.9591066101428796,0.6195935487747193,0.7125,0.7309868007542426
11,0.5142905319203211,0.8980446927374302,0.9581331449207097,0.6171628952026367,0.7125,0.7309868007542427
12,0.4955976988350213,0.8896648044692738,0.9667844245564453,0.6138170838356019,0.7,0.7309868007542426
13,0.4707999833802271,0.9162011173184358,0.973096247448579,0.612214982509613,0.7125,0.7297297297297297
14,0.4525052956695663,0.9050279329608939,0.9746663526456272,0.6131998777389527,0.6875,0.7291011942174733
15,0.42814430361353484,0.9427374301675978,0.9804129376668237,0.6067475199699401,0.6875,0.7259585166561912
16,0.40585921330158936,0.9483240223463687,0.9841497880357983,0.6099008202552796,0.6875,0.7215587680703961
17,0.38652532843238147,0.9399441340782123,0.9847621290626472,0.5952991962432861,0.7125,0.7322438717787555
18,0.3664918746695172,0.9441340782122905,0.9864342910975036,0.6059579730033875,0.6875,0.7152734129478316
19,0.34547903301329586,0.9539106145251397,0.991403674046161,0.6044376373291016,0.65,0.7165304839723445
20,0.3261486992822679,0.9692737430167597,0.9929109750353273,0.6034831643104553,0.7,0.7190446260213702
21,0.30823076953435075,0.9650837988826816,0.9937745328937039,0.6089635491371155,0.7,0.7190446260213702
22,0.29419357633457505,0.9664804469273743,0.9942848170827446,0.6130556344985962,0.675,0.7152734129478315
23,0.27784111646300585,0.9678770949720671,0.9961453917412466,0.6108266592025757,0.6875,0.7190446260213703
24,0.2586036169662156,0.979050279329609,0.996121840163291,0.6106142401695251,0.65,0.7096165933375236
25,0.24022194276974854,0.9804469273743017,0.998437745328937,0.622443687915802,0.675,0.7121307353865494
26,0.22896376077356284,0.9832402234636871,0.9978646569320144,0.6171551823616028,0.65,0.7096165933375236
27,0.21775607564928812,0.9874301675977654,0.9987439158423614,0.6260385692119599,0.675,0.7190446260213703
28,0.20398098430154044,0.9902234636871509,0.9993248547652693,0.641361004114151,0.6625,0.7102451288497801
29,0.1936915757436326,0.9888268156424581,0.9985319516407599,0.6692370057106019,0.6875,0.704588309239472
30,0.18146185302201595,0.9930167597765364,0.9994112105511069,0.6327659726142884,0.675,0.7196731615336267
31,0.17274175617614937,0.9916201117318436,0.998893075836081,0.6553755223751068,0.65,0.7108736643620365
32,0.1611790986700431,0.9930167597765364,0.9997173810645313,0.6989201664924621,0.675,0.7077309868007542
33,0.15219589385240437,0.9958100558659218,0.9999528968440885,0.6335984230041504,0.65,0.7165304839723444
34,0.14743228348273804,0.9958100558659218,0.9997173810645313,0.6832418084144593,0.675,0.7152734129478316
35,0.1351903603729589,0.9972067039106145,0.9999764484220443,0.6441506624221802,0.6625,0.7165304839723445
36,0.1268700309222637,0.9930167597765364,0.9998822421102214,0.6607921302318573,0.6625,0.7140163419233188
37,0.12104374365933114,0.9972067039106145,0.9999214947401476,0.6702303647994995,0.65,0.7146448774355751
