epoch,train_loss,train_acc,train_auc,monitor_loss,monitor_acc,monitor_auc
1,0.6939131105696404,0.5146853146853146,0.5047461629279811,0.6903563499450683,0.5375,0.5128849780012571
2,0.6723404227436839,0.6055944055944056,0.6366155057064148,0.6849737763404846,0.5375,0.5210559396605907
3,0.6552706030698923,0.6461538461538462,0.6994805194805196,0.6799574851989746,0.525,0.5430546825895664
4,0.6397359384523406,0.6881118881118881,0.7385753640299095,0.6738311052322388,0.55,0.5813953488372092
5,0.6252551716524404,0.7454545454545455,0.8360094451003544,0.6723125219345093,0.5875,0.589566310496543
6,0.6075047648036397,0.7272727272727273,0.8673042109405746,0.666705596446991,0.6125,0.5977372721558768
7,0.5927294802832437,0.7818181818181819,0.8788665879574971,0.6623916745185852,0.6,0.6134506599622879
8,0.5753543137670397,0.7986013986013986,0.9007359307359307,0.6619381308555603,0.5625,0.6184789440603393
9,0.5600258918908926,0.8111888111888111,0.9264935064935065,0.65600106716156,0.6375,0.6203645505971088
10,0.5407036111071393,0.848951048951049,0.9324675324675324,0.6577408194541932,0.6125,0.6128221244500315
11,0.5209568546368526,0.8783216783216783,0.9511924439197167,0.6523350715637207,0.625,0.6291640477686988
12,0.5034734799728527,0.862937062937063,0.9515308933490751,0.6482087850570679,0.6625,0.64487743557511
13,0.47819031660373396,0.8867132867132868,0.96543093270366,0.6455979228019715,0.675,0.661847894406034
14,0.4605922380944232,0.8923076923076924,0.9704761904761904,0.6417471528053283,0.6125,0.6681332495285984
15,0.43995267898886353,0.9146853146853147,0.9738370720188902,0.6388375282287597,0.6125,0.6656191074795726
16,0.41917794830315597,0.9188811188811189,0.9759307359307359,0.64133061170578,0.6625,0.6706473915776242
17,0.4022181403386843,0.9118881118881119,0.9781267217630853,0.6381098031997681,0.6375,0.6863607793840353
18,0.38104517943375593,0.9314685314685315,0.9855962219598584,0.6329462051391601,0.625,0.6863607793840352
19,0.3595311642943562,0.9440559440559441,0.9863990554899645,0.6496623516082763,0.6125,0.6882463859208046
20,0.34645958246884645,0.9426573426573427,0.9869185360094451,0.6335270762443542,0.675,0.6926461345065996
21,0.32480685073178966,0.9524475524475524,0.9902794175521448,0.6297461986541748,0.6125,0.6920175989943431
22,0.30567781541730976,0.9594405594405594,0.9931050767414403,0.6278403639793396,0.6375,0.6970458830923947
23,0.29221816792354716,0.9538461538461539,0.99275875639512,0.6406908869743347,0.6375,0.6995600251414205
24,0.2784114865989952,0.9636363636363636,0.9935222353404172,0.6343734323978424,0.6625,0.6957888120678819
25,0.26339013830765146,0.9692307692307692,0.9949940968122786,0.6286225914955139,0.625,0.7083595223130107
26,0.24708247355647853,0.9776223776223776,0.9963478945297126,0.6334452271461487,0.65,0.6976744186046512
27,0.23261327864406825,0.9762237762237762,0.9977489177489177,0.6289362430572509,0.6375,0.7102451288497801
28,0.22389126332489762,0.9832167832167832,0.997693821330185,0.6293184697628021,0.625,0.7146448774355751
29,0.20765686304002376,0.9818181818181818,0.9989452971271153,0.6267945647239686,0.6375,0.7133878064110623
30,0.19495280716385874,0.9902097902097902,0.9984100747737111,0.6410654067993165,0.6625,0.7077309868007543
31,0.1843947659005652,0.9902097902097902,0.9994490358126722,0.6611867904663086,0.675,0.7127592708988059
32,0.17532575793199606,0.993006993006993,0.9991971664698938,0.6354818880558014,0.6125,0.711502199874293
33,0.16983962872853645,0.9888111888111888,0.9991263282172373,0.6345480740070343,0.6375,0.7146448774355751
34,0.16137459005092408,0.9902097902097902,0.9989295552931916,0.6362635493278503,0.6125,0.7165304839723445
35,0.1532492546976863,0.9958041958041958,0.9990633608815427,0.6583949208259583,0.675,0.7152734129478315
36,0.1416855997972555,0.9972027972027973,0.9997481306572216,0.6479722797870636,0.65,0.7127592708988058
37,0.1361755056606306,0.9958041958041958,0.999771743408107,0.6729741036891937,0.6375,0.7165304839723444
38,0.13304320827022298,0.9972027972027973,0.9996143250688705,0.6398494899272918,0.625,0.721558768070396
39,0.12032391299734582,0.9986013986013986,0.9996221959858324,0.6865657210350037,0.65,0.7146448774355751
40,0.11321803169859039,0.9972027972027973,0.9999842581660764,0.6420375585556031,0.65,0.7265870521684475
41,0.11358029100444766,0.9972027972027973,0.9999685163321527,0.6616477489471435,0.6375,0.715901948460088
42,0.10411336092682151,0.9944055944055944,0.9999449035812672,0.6556116342544556,0.6375,0.7196731615336267
43,0.10030827754652584,0.9972027972027973,0.9998976780794963,0.6471290230751038,0.6625,0.7209302325581396
44,0.09708218246281564,1.0,1.0,0.6591315269470215,0.65,0.7228158390949089
45,0.08831904299192496,1.0,1.0,0.7033421576023102,0.6375,0.715901948460088
46,0.08745471996652497,0.9972027972027973,0.9999763872491145,0.6540831208229065,0.6375,0.7240729101194219
47,0.08486531294517584,0.9986013986013986,1.0,0.6760687410831452,0.6625,0.7190446260213702
48,0.08270588123298192,0.9986013986013986,0.9999449035812672,0.6971750855445862,0.65,0.7221873035826525
49,0.07339946516118684,0.9986013986013986,1.0,0.6808245837688446,0.65,0.7215587680703961
