epoch,train_loss,train_acc,train_auc,monitor_loss,monitor_acc,monitor_auc
1,0.6908957664356675,0.5302325581395348,0.5372283962652455,0.6717842022577921,0.5625,0.6052173913043478
2,0.6666817307472229,0.6302325581395349,0.6694179068910985,0.660567065080007,0.5833333333333334,0.6191304347826088
3,0.6474127120749895,0.6837209302325581,0.7320681960962717,0.6579471627871195,0.5833333333333334,0.64
4,0.6308467304983805,0.6767441860465117,0.793873616256147,0.653383751710256,0.6041666666666666,0.6469565217391304
5,0.6138014344281928,0.7395348837209302,0.8355646541452741,0.6512642304102579,0.6041666666666666,0.6573913043478261
6,0.5979453705077947,0.7930232558139535,0.8784688373302136,0.6447198589642843,0.6041666666666666,0.6539130434782608
7,0.5807466165963994,0.7930232558139535,0.8848378501332294,0.6423706213633219,0.625,0.6678260869565217
8,0.5642597070960111,0.8395348837209302,0.9106171876692446,0.6373052398363749,0.625,0.6695652173913044
9,0.5478450514549433,0.8511627906976744,0.9256515240137779,0.6363817056020101,0.625,0.6799999999999999
10,0.5326995371386062,0.872093023255814,0.9363965252052598,0.6318631768226624,0.5833333333333334,0.6869565217391305
11,0.511653204435526,0.872093023255814,0.9490912241935834,0.6284639636675516,0.6458333333333334,0.6852173913043479
12,0.4975130887918694,0.8790697674418605,0.9480730486774549,0.6248355905214945,0.625,0.6852173913043479
13,0.4782072539939437,0.8976744186046511,0.9590130196486211,0.6240516106287638,0.625,0.688695652173913
14,0.4634070482364921,0.8953488372093024,0.9624358224475206,0.6200506687164307,0.6458333333333334,0.6904347826086956
15,0.44352830759314604,0.9232558139534883,0.9682199259114838,0.6156007250150045,0.6458333333333334,0.6921739130434783
16,0.4260146792544875,0.9302325581395349,0.97682025952644,0.6154297192891439,0.6458333333333334,0.6991304347826087
17,0.4120088370733483,0.9232558139534883,0.9748055718030372,0.6121551394462585,0.6458333333333334,0.702608695652174
18,0.396368586601213,0.9232558139534883,0.9784883343081823,0.6102970242500305,0.6875,0.7026086956521738
19,0.3764747001403986,0.9325581395348838,0.983145945711748,0.6089584430058798,0.6458333333333334,0.7078260869565218
20,0.3591178321561148,0.9441860465116279,0.9859188492450337,0.6110950907071432,0.6666666666666666,0.7147826086956521
21,0.3478116609329401,0.9395348837209302,0.9852906132882736,0.6047614614168803,0.625,0.7147826086956521
22,0.3324644835882409,0.9534883720930233,0.9888000693225883,0.6042112310727438,0.6875,0.711304347826087
23,0.31226292640663855,0.9674418604651163,0.9919629124152423,0.6032736698786417,0.6666666666666666,0.7130434782608697
24,0.3001973728800929,0.9767441860465116,0.992937761313663,0.607716421286265,0.7083333333333334,0.7182608695652174
25,0.28560045777365217,0.9720930232558139,0.9931977210199086,0.6228193442026774,0.5833333333333334,0.7078260869565218
26,0.28472341867380363,0.9604651162790697,0.9928727713871016,0.6145573059717814,0.5625,0.7078260869565218
