epoch,train_loss,train_acc,train_auc,monitor_loss,monitor_acc,monitor_auc
1,0.6872903771333762,0.5468531468531469,0.5448642266824085,0.6925349831581116,0.5125,0.5103708359522313
2,0.6654132761321702,0.620979020979021,0.6720346320346321,0.6862580895423889,0.5125,0.5543683218101823
3,0.647600750239579,0.6727272727272727,0.7556631247540339,0.6801268696784973,0.5625,0.5952231301068511
4,0.6327886873191887,0.6951048951048951,0.7919323101141282,0.676217007637024,0.5625,0.6279069767441862
5,0.6153556316048949,0.7342657342657343,0.8615741833923652,0.6722986221313476,0.575,0.6285355122564424
6,0.5943274929806903,0.8223776223776224,0.9118063754427391,0.6676903247833252,0.6375,0.6436203645505971
7,0.5802996050227772,0.7916083916083916,0.9150806768988586,0.6682081937789917,0.5875,0.6367064739157763
8,0.5595956499759968,0.8223776223776224,0.9295238095238095,0.6624175071716308,0.6,0.6448774355751101
9,0.5416182528842579,0.8433566433566434,0.9440771349862258,0.6580853223800659,0.6125,0.6549340037712131
10,0.5261975606838306,0.855944055944056,0.9472176308539945,0.6578964352607727,0.65,0.6725329981143935
11,0.5041077547140055,0.8741258741258742,0.9583156237701692,0.6573162913322449,0.6125,0.6524198617221874
12,0.4813851097246984,0.8909090909090909,0.9631877213695397,0.6486617207527161,0.625,0.6807039597737272
13,0.46261463027734023,0.9118881118881119,0.9713892168437623,0.6486222863197326,0.5875,0.6800754242614708
14,0.43851621747016906,0.9230769230769231,0.9792129083038175,0.6470718383789062,0.6125,0.677561282212445
15,0.4170778769296366,0.9300699300699301,0.9794883903974814,0.6553465485572815,0.6125,0.683218101822753
16,0.4002728643534067,0.9272727272727272,0.9816450216450218,0.6504118084907532,0.6,0.6744186046511629
17,0.376023217056181,0.9426573426573427,0.987697756788666,0.6463998913764953,0.6375,0.6807039597737273
18,0.35918809204668434,0.9552447552447553,0.9894057457693821,0.6474279165267944,0.625,0.6807039597737272
19,0.3359556272730127,0.9636363636363636,0.9928059818968911,0.6563609600067138,0.6,0.6882463859208046
20,0.3205763599255702,0.9552447552447553,0.9916568280204644,0.6497981786727905,0.6375,0.6819610307982402
21,0.3041725168278167,0.958041958041958,0.9930893349075167,0.6631152272224426,0.6125,0.6844751728472659
22,0.28861316673822335,0.9594405594405594,0.9936717827626919,0.646077573299408,0.65,0.6857322438717788
23,0.2713709172252175,0.9804195804195804,0.9970326643053915,0.6506412267684937,0.65,0.6857322438717787
24,0.2548803675841618,0.9762237762237762,0.9975757575757576,0.6640966415405274,0.6125,0.6876178504085481
25,0.2396606362574584,0.9776223776223776,0.9979771743408107,0.6532362461090088,0.6375,0.6876178504085481
26,0.23037715060310765,0.9888111888111888,0.998819362455726,0.657215130329132,0.6625,0.6863607793840352
27,0.21925720343222985,0.9790209790209791,0.9990240062967335,0.6648281812667847,0.6375,0.688874921433061
28,0.20492747849100953,0.9888111888111888,0.9993939393939394,0.6754014134407044,0.65,0.6863607793840352
29,0.19258642953175764,0.9916083916083916,0.9995513577331759,0.6711833119392395,0.6625,0.6863607793840353
30,0.1791190604438315,0.9916083916083916,0.99909484454939,0.6704344630241394,0.6625,0.6876178504085481
31,0.16951302719282937,0.9916083916083916,0.9997796143250689,0.6782896995544434,0.65,0.6895034569453174
32,0.1624602195787263,0.9902097902097902,0.9990318772136954,0.6961292505264283,0.6125,0.6869893148962917
33,0.15630164763310572,0.9902097902097902,0.999590712317985,0.694532573223114,0.6375,0.6863607793840353
34,0.14545345864929518,0.9958041958041958,0.9998504525777253,0.6905707359313965,0.65,0.6882463859208046
35,0.13969694496868373,0.9944055944055944,0.9997402597402597,0.7033067226409913,0.6375,0.6913890634820867
36,0.13123384389010342,0.9986013986013986,0.9999921290830381,0.7058518290519714,0.6375,0.6895034569453174
37,0.13037627876013308,0.9972027972027973,0.999637937819756,0.7066325664520263,0.6625,0.6882463859208046
38,0.11923970306044691,0.9958041958041958,0.9999606454151908,0.7062938570976257,0.65,0.6920175989943432
39,0.1130298283862901,0.9972027972027973,0.9999606454151909,0.717344331741333,0.65,0.6901319924575738
40,0.10970734685034185,0.9986013986013986,0.9999921290830381,0.7164896726608276,0.65,0.6907605279698303
41,0.10139393807499558,0.9972027972027973,0.9999527744982291,0.7212262988090515,0.6375,0.6901319924575738
42,0.09376132609127284,1.0,1.0,0.7321168780326843,0.625,0.6913890634820868
