epoch,train_loss,train_acc,train_auc,monitor_loss,monitor_acc,monitor_auc
1,0.6872435325350841,0.5502793296089385,0.5394488930758361,0.6759163618087769,0.5875,0.6643620364550598
2,0.6688693781804772,0.6089385474860335,0.660621761658031,0.6695090889930725,0.5875,0.7052168447517285
3,0.6527187727683084,0.6689944134078212,0.759805306955566,0.6634029269218444,0.5625,0.7322438717787555
4,0.6349202091467447,0.6997206703910615,0.8315983670905951,0.6571067452430726,0.6625,0.7473287240729102
5,0.6235964075147107,0.7136871508379888,0.8591223111948499,0.6545868039131164,0.625,0.7510999371464488
6,0.6078381641617034,0.7891061452513967,0.8812136913173181,0.6486462712287903,0.6125,0.7567567567567567
7,0.5886499159162937,0.8310055865921788,0.9326110849426911,0.648370885848999,0.575,0.7605279698302955
8,0.5758261567387502,0.7877094972067039,0.9175223739990579,0.6384062528610229,0.6125,0.7642991829038341
9,0.5534837176013925,0.8449720670391061,0.9526534777830116,0.6278966307640076,0.65,0.7655562539283469
10,0.5350721914674983,0.8505586592178771,0.9533050714397864,0.6273743987083436,0.6125,0.7611565053425519
11,0.5163404169029364,0.8798882681564246,0.9519194536033915,0.6177072644233703,0.6875,0.7686989314896292
12,0.4970868782624186,0.8659217877094972,0.9533129219657718,0.6260062098503113,0.6125,0.7611565053425519
13,0.4769071608615321,0.9064245810055865,0.9766682367718638,0.6068963885307312,0.725,0.7768698931489629
14,0.4535892111296094,0.9134078212290503,0.9711022138483278,0.619109034538269,0.6125,0.759899434318039
15,0.4407547584126115,0.9106145251396648,0.9745250431778929,0.5954721093177795,0.7,0.7787554996857322
16,0.42161221277780375,0.914804469273743,0.9747134558015387,0.5970480084419251,0.675,0.7680703959773727
17,0.39657027295181874,0.952513966480447,0.9897001099073639,0.5887718677520752,0.7125,0.7705845380263985
18,0.3762116631982047,0.9553072625698324,0.9903046004082274,0.6060687661170959,0.625,0.7749842866121937
19,0.3566908623253167,0.946927374301676,0.9902260951483749,0.586033308506012,0.6875,0.7825267127592709
20,0.33707556145151235,0.9664804469273743,0.9922201287486261,0.5782868027687073,0.7125,0.7837837837837839
21,0.3225579509854983,0.9692737430167597,0.9940336002512168,0.5750274300575257,0.725,0.7787554996857323
22,0.30052687935323025,0.9818435754189944,0.9967969853980216,0.5696887850761414,0.725,0.7844123192960403
23,0.2924321728378701,0.9720670391061452,0.9958549222797928,0.5958317041397094,0.675,0.7818981772470144
24,0.2805114003866078,0.973463687150838,0.9955801538703093,0.5837675273418427,0.7125,0.7825267127592709
25,0.25476420808104827,0.9818435754189944,0.9987046632124352,0.5822712659835816,0.7125,0.785669390320553
26,0.24210598507074005,0.9832402234636871,0.9982022295493799,0.5678106486797333,0.7375,0.7875549968573224
27,0.22458452236052998,0.9888268156424581,0.9990422358298006,0.5855486154556274,0.7125,0.785669390320553
28,0.21676324099801772,0.9874301675977654,0.9975977390485162,0.5622715950012207,0.7625,0.7844123192960403
29,0.20271660970242997,0.9930167597765364,0.9987125137384205,0.572164785861969,0.75,0.7856693903205532
30,0.19636358420609096,0.9916201117318436,0.9996467263306642,0.5632641911506653,0.7625,0.7862979258328096
31,0.18649733491117063,0.994413407821229,0.9989480295179778,0.5656818747520447,0.775,0.786926461345066
32,0.16933625353781204,0.994413407821229,0.9998979431621918,0.5724829137325287,0.775,0.7862979258328096
33,0.15896035780786802,0.994413407821229,0.9999764484220443,0.5741935670375824,0.75,0.7913262099308611
34,0.15190406027119918,0.9986033519553073,0.9996859789605903,0.5923908472061157,0.725,0.7875549968573224
35,0.14480657538388694,0.994413407821229,0.9994426126550479,0.575070321559906,0.775,0.7894406033940918
36,0.1432816486951359,0.9930167597765364,0.9998822421102214,0.566640317440033,0.7625,0.792583280955374
37,0.12982250050792482,0.9972067039106145,0.9999450463181033,0.5907471537590027,0.725,0.7944688874921434
38,0.1240382154560622,0.9958100558659218,0.999968597896059,0.6083664774894715,0.6875,0.7856693903205532
39,0.12003472867791214,0.9986033519553073,0.9996467263306641,0.5721855401992798,0.775,0.7932118164676304
40,0.11065397103572025,0.9986033519553073,0.9999842989480295,0.5780109882354736,0.7875,0.7932118164676304
41,0.10680504582364465,0.9972067039106145,0.9999921494740147,0.5972593069076538,0.7375,0.792583280955374
42,0.0974497299370819,0.9986033519553073,0.9999057936881771,0.5914280533790588,0.7625,0.7906976744186046
43,0.09705910869150855,1.0,1.0,0.5927845954895019,0.7625,0.7919547454431175
44,0.09444255589939363,0.9972067039106145,0.999968597896059,0.5983649730682373,0.775,0.7875549968573224
45,0.0882129370541879,0.9986033519553073,1.0,0.5910949945449829,0.7625,0.7938403519798868
46,0.0836662643032367,0.9972067039106145,0.9994190610770921,0.6178064107894897,0.75,0.7888120678818352
47,0.07815520708870621,0.9986033519553073,1.0,0.6051192164421082,0.75,0.7894406033940917
48,0.08043065271730529,0.9986033519553073,1.0,0.6102889478206635,0.75,0.792583280955374
