candidate,n_folds,acc_mean,acc_std,auc_mean,auc_std,acc_min,acc_max,auc_min,auc_max
template_k_10,5,0.6553694233821196,0.04450466661051976,0.7511161387631976,0.04255779970169078,0.5849056603773585,0.7075471698113207,0.6983957219251337,0.7960784313725491
hidden_channels_128,5,0.6741844471874449,0.04661515502131484,0.7505539558480734,0.05204783302434216,0.6132075471698113,0.7264150943396226,0.6901960784313725,0.8085561497326202
combined_top,5,0.6722976547346147,0.05726601338795939,0.7504209515974221,0.050428726350475864,0.5849056603773585,0.7264150943396226,0.6901960784313725,0.801782531194296
cheb_k_1,5,0.660959266443308,0.07152513911146081,0.7472110242698478,0.05461644048544128,0.5754716981132075,0.7358490566037735,0.6777183600713013,0.8106951871657754
dropout_0p0,5,0.6534649973549638,0.04607910584300604,0.7458371040723982,0.06342023561053986,0.5849056603773585,0.6981132075471698,0.6531194295900178,0.8032085561497326
